seq,pitch,roll,yaw,xVelocity,yVelocity,zVelocity,altitude
58587,13.485,9.558,5.404,0,0,0,0
58588,13.479,9.551,5.438,0,0,0,0
58589,13.49,9.559,5.45,0,0,0,0
58590,13.499,9.557,5.453,0,0,0,0
58591,13.497,9.554,5.449,0,0,0,0
58592,13.501,9.561,5.441,0,0,0,0
58593,13.499,9.557,5.448,0,0,0,0
58594,13.501,9.541,5.456,0,0,0,0
58595,13.505,9.55,5.462,0,0,0,0
58596,13.514,9.56,5.461,0,0,0,0
58597,13.517,9.559,5.462,0,0,0,0
58598,13.518,9.559,5.487,0,0,0,0
58599,13.521,9.562,5.513,0,0,0,0
58600,13.522,9.564,5.533,0,0,0,0
58601,13.522,9.567,5.545,0,0,0,0
58602,13.518,9.574,5.551,0,0,0,0
58603,13.516,9.565,5.559,0,0,0,0
58604,13.516,9.566,5.574,0,0,0,0
58605,13.517,9.566,5.587,0,0,0,0
58606,13.524,9.566,5.595,0,0,0,0
58607,13.521,9.568,5.598,0,0,0,0
58608,13.509,9.566,5.616,0,0,0,0
58609,13.504,9.567,5.618,0,0,0,0
58610,13.513,9.572,5.625,0,0,0,0
58611,13.534,9.572,5.658,0,0,0,0
58612,13.527,9.591,5.707,0,0,0,0
58613,13.5,9.629,5.743,0,0,0,0
58614,13.521,9.766,5.692,0,0,0,0
58615,13.522,9.855,5.6,0,0,0,0
58616,13.575,9.778,5.682,0,0,0,0
58617,13.602,9.602,5.749,0,0,0,0
58618,13.643,9.691,5.612,0,0,0,0
58619,13.68,9.661,5.474,0,0,0,0
58620,13.609,9.545,5.52,0,0,0,0
58621,13.561,9.556,5.653,0,0,0,0
58622,13.58,9.634,5.746,0,0,0,0
58623,13.604,9.646,5.752,0,0,0,0
58624,13.623,9.631,5.714,0,0,0,0
58625,13.641,9.66,5.699,0,0,0,0
58626,13.626,9.663,5.71,0,0,0,0
58627,13.617,9.641,5.76,0,0,0,0
58628,13.611,9.637,5.785,0,0,0,0
58629,13.613,9.657,5.749,0,0,0,0
58630,13.631,9.679,5.728,0,0,0,0
58631,13.628,9.682,5.737,0,0,0,0
58632,13.622,9.659,5.764,0,0,0,0
58633,13.618,9.647,5.77,0,0,0,0
58634,13.62,9.649,5.754,0,0,0,0
58635,13.628,9.638,5.757,0,0,0,0
58636,13.632,9.618,5.796,0,0,0,0
58637,13.619,9.599,5.841,0,0,0,0
58638,13.619,9.615,5.901,0,0,0,0
58639,13.623,9.623,5.927,0,0,0,0
58640,13.641,9.637,5.966,0,0,0,0
58641,13.655,9.629,5.972,0,0,0,0
58642,13.663,9.628,5.965,0,0,0,0
58643,13.652,9.631,5.952,0,0,0,0
58644,13.639,9.623,5.965,0,0,0,0
58645,13.637,9.632,5.998,0,0,0,0
58646,13.636,9.636,6.017,0,0,0,0
58647,13.631,9.629,6.02,0,0,0,0
58648,13.631,9.643,6.022,0,0,0,0
58649,13.631,9.637,6.022,0,0,0,0
58650,13.628,9.631,6.035,0,0,0,0
58651,13.625,9.634,6.047,0,0,0,0
58652,13.625,9.624,6.062,0,0,0,0
58653,13.618,9.621,6.094,0,0,0,0
58654,13.616,9.64,6.101,0,0,0,0
58655,13.637,9.64,6.116,0,0,0,0
58656,13.634,9.631,6.127,0,0,0,0
58657,13.633,9.615,6.119,0,0,0,0
58658,13.629,9.608,6.112,0,0,0,0
58659,13.625,9.604,6.115,0,0,0,0
58660,13.614,9.591,6.121,0,0,0,0
58661,13.606,9.596,6.138,0,0,0,0
58662,13.609,9.594,6.14,0,0,0,0
58663,13.614,9.588,6.142,0,0,0,0
58664,13.611,9.582,6.146,0,0,0,0
58665,13.609,9.582,6.15,0,0,0,0
58666,13.608,9.576,6.171,0,0,0,0
58667,13.612,9.586,6.202,0,0,0,0
58668,13.615,9.596,6.224,0,0,0,0
58669,13.619,9.6,6.244,0,0,0,0
58670,13.625,9.612,6.259,0,0,0,0
58671,13.623,9.586,6.277,0,0,0,0
58672,13.627,9.577,6.294,0,0,0,0
58673,13.637,9.589,6.276,0,0,0,0
58674,13.652,9.604,6.254,0,0,0,0
58675,13.655,9.585,6.249,0,0,0,0
58676,13.642,9.575,6.269,0,0,0,0
58677,13.641,9.567,6.284,0,0,0,0
58678,13.649,9.567,6.275,0,0,0,0
58679,13.651,9.57,6.252,0,0,0,0
58680,13.653,9.56,6.247,0,0,0,0
58682,13.642,9.539,6.337,0,0,0,0
58683,13.657,9.55,6.344,0,0,0,0
58684,13.66,9.563,6.285,0,0,0,0
58685,13.667,9.577,6.311,0,0,0,0
58686,13.674,9.536,6.341,0,0,0,0
58687,13.665,9.54,6.357,0,0,0,0
58688,13.664,9.571,6.342,0,0,0,0
58689,13.673,9.555,6.315,0,0,0,0
58690,13.683,9.549,6.289,0,0,0,0
